ReverseSorted Array For BubbleSort
10000,418
20000,1847
30000,3225
40000,5394
50000,8337
60000,12288
70000,17352
80000,23596
90000,28797
Sorted Array For BubbleSort
10000,145
20000,911
30000,2075
40000,3768
50000,5762
60000,8303
70000,11328
80000,14783
90000,18815
RandomListArray BubbleSort
10000,438
20000,1941
30000,4923
40000,8873
50000,13884
60000,20895
70000,30070
80000,37777
90000,50828
HalfSortedArray BubbleSort
10000,268
20000,1126
30000,2654
40000,4706
50000,7539
60000,10888
70000,15525
80000,20037
90000,26301
DuplicateElementsArray BubbleSort
10000,267
20000,1118
30000,2471
40000,4506
50000,7086
60000,10251
70000,14131
80000,18758
90000,23620
