ReverseSorted Array For BubbleSort
1000,13
2000,44
3000,36
4000,64
5000,99
6000,143
7000,163
8000,218
9000,305
Sorted Array For BubbleSort
1000,6
2000,8
3000,13
4000,37
5000,57
6000,82
7000,112
8000,160
9000,180
RandomListArray BubbleSort
1000,3
2000,16
3000,39
4000,74
5000,109
6000,160
7000,220
8000,291
9000,369
HalfSortedArray BubbleSort
1000,2
2000,11
3000,32
4000,43
5000,67
6000,101
7000,142
8000,178
9000,227
DuplicateElementsArray BubbleSort
1000,3
2000,10
3000,23
4000,42
5000,65
6000,94
7000,128
8000,171
9000,211
