ReverseSorted Array For MergeSort
1000,1
2000,1
3000,2
4000,3
5000,4
6000,4
7000,1
8000,1
9000,1
Sorted Array For MergeSort
1000,1
2000,0
3000,0
4000,1
5000,0
6000,0
7000,1
8000,1
9000,2
RandomListArray MergeSort
1000,0
2000,1
3000,1
4000,2
5000,2
6000,2
7000,2
8000,1
9000,2
HalfSortedArray MergeSort
1000,0
2000,1
3000,0
4000,1
5000,1
6000,1
7000,1
8000,1
9000,2
DuplicateElementsArray MergeSort
1000,0
2000,1
3000,1
4000,1
5000,1
6000,1
7000,1
8000,2
9000,1
