ReverseSorted Array For SelectionSort
1000,6
2000,31
3000,12
4000,13
5000,20
6000,28
7000,38
8000,49
9000,70
Sorted Array For SelectionSort
1000,1
2000,3
3000,7
4000,13
5000,19
6000,28
7000,39
8000,50
9000,62
RandomListArray SelectionSort
1000,1
2000,3
3000,8
4000,14
5000,20
6000,29
7000,41
8000,52
9000,69
HalfSortedArray SelectionSort
1000,1
2000,3
3000,7
4000,14
5000,20
6000,28
7000,39
8000,50
9000,84
DuplicateElementsArray SelectionSort
1000,1
2000,7
3000,8
4000,14
5000,20
6000,30
7000,39
8000,50
9000,69
